Start Time (UTC) = 1729570486.078829
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
0.044800	1559.5977	1554.2088	1549.1860	1545.0832	1542.3127	1559.5851	1553.7282	1549.1282	1546.4928	1542.6475
0.045600	1559.5977	1554.2088	1549.1860	1545.0832	1542.3135	1559.5843	1553.7290	1549.1274	1546.4920	1542.6468
0.046400	1559.5985	1554.2080	1549.1868	1545.0816	1542.3135	1559.5867	1553.7282	1549.1290	1546.4912	1542.6475
0.047200	1559.5977	1554.2080	1549.1860	1545.0816	1542.3127	1559.5851	1553.7274	1549.1282	1546.4920	1542.6468
0.048000	1559.5977	1554.2080	1549.1860	1545.0816	1542.3135	1559.5843	1553.7282	1549.1282	1546.4920	1542.6468
0.048800	1559.5977	1554.2088	1549.1852	1545.0832	1542.3135	1559.5859	1553.7274	1549.1282	1546.4920	1542.6475
0.049600	1559.5977	1554.2088	1549.1860	1545.0824	1542.3127	1559.5843	1553.7282	1549.1282	1546.4928	1542.6468
0.050400	1559.5977	1554.2080	1549.1852	1545.0824	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6468
0.051200	1559.5977	1554.2080	1549.1852	1545.0832	1542.3135	1559.5843	1553.7282	1549.1282	1546.4912	1542.6468
0.052000	1559.5985	1554.2096	1549.1860	1545.0824	1542.3135	1559.5859	1553.7282	1549.1282	1546.4928	1542.6475
0.052800	1559.5970	1554.2080	1549.1876	1545.0816	1542.3135	1559.5851	1553.7266	1549.1282	1546.4920	1542.6468
0.053600	1559.5977	1554.2080	1549.1860	1545.0832	1542.3135	1559.5851	1553.7274	1549.1282	1546.4920	1542.6468
0.054400	1559.5977	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7282	1549.1274	1546.4920	1542.6475
0.055200	1559.5977	1554.2080	1549.1868	1545.0824	1542.3127	1559.5851	1553.7282	1549.1290	1546.4920	1542.6468
0.056000	1559.5970	1554.2088	1549.1860	1545.0832	1542.3127	1559.5851	1553.7282	1549.1282	1546.4920	1542.6468
0.056800	1559.5977	1554.2080	1549.1876	1545.0824	1542.3135	1559.5851	1553.7274	1549.1282	1546.4928	1542.6468
0.057600	1559.5977	1554.2080	1549.1868	1545.0824	1542.3127	1559.5843	1553.7274	1549.1290	1546.4920	1542.6468
0.058400	1559.5977	1554.2080	1549.1868	1545.0840	1542.3135	1559.5859	1553.7282	1549.1282	1546.4920	1542.6475
0.059200	1559.5970	1554.2072	1549.1860	1545.0832	1542.3135	1559.5835	1553.7282	1549.1274	1546.4920	1542.6475
0.060000	1559.5970	1554.2088	1549.1860	1545.0816	1542.3135	1559.5843	1553.7274	1549.1290	1546.4920	1542.6468
0.060800	1559.5970	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7274	1549.1282	1546.4920	1542.6475
0.061600	1559.5977	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7282	1549.1282	1546.4928	1542.6468
0.062400	1559.5977	1554.2064	1549.1876	1545.0816	1542.3143	1559.5867	1553.7266	1549.1282	1546.4920	1542.6475
0.063200	1559.5970	1554.2072	1549.1868	1545.0824	1542.3135	1559.5843	1553.7282	1549.1282	1546.4920	1542.6475
0.064000	1559.5970	1554.2088	1549.1860	1545.0832	1542.3127	1559.5859	1553.7274	1549.1274	1546.4928	1542.6468
0.064800	1559.5970	1554.2080	1549.1860	1545.0832	1542.3127	1559.5843	1553.7274	1549.1274	1546.4912	1542.6468
